9912219	9412130
9912219	9501063
9912219	9505130
9912219	9511002
9912219	9708095
9912219	9710094
9912219	9812251
9912219	9907167
9912228	9911059
9912235	9501063
9912235	9505130
9912235	9511002
9912235	9708095
9912235	9710094
9912235	9907167
9912235	9912219
9912240	9405135
9912240	9502097
9912240	9508161
9912240	9606105
9912240	9608193
9912240	9702053
9912240	9705216
9912240	9710093
9912240	9803011
9912240	9805022
9912240	9903011
9912240	9903055
9912240	9910060
9912240	9911118
9912240	9912097
9912240	9912114
9912240	9912128
9912252	9412229
9912252	9502053
9912252	9604044
9912252	9805008
9912252	9808153
9912252	9908050
9912260	9510017
9912260	9610043
9912260	9611050
9912260	9704080
9912260	9902024
9912260	9908157
9912270	9306153
9912286	9707163
9912286	9802015
9912286	9802074
9912286	9805150
9912286	9806074
9912286	9808140
9912286	9810068
9912286	9901023
